event_id,home_team,away_team,possible_outcomes,winner_outcome
fe2eb07797580740af78037ab498198e,Detroit Lions,Green Bay Packers,Detroit Lions|Green Bay Packers,
de53b8a594fe830c5fd56484705cd756,Dallas Cowboys,Kansas City Chiefs,Dallas Cowboys|Kansas City Chiefs,
883a79a306b312fad75ebf04b441b4da,Baltimore Ravens,Cincinnati Bengals,Baltimore Ravens|Cincinnati Bengals,
52f539d9d080618aa8830a0b03846a80,Philadelphia Eagles,Chicago Bears,Chicago Bears|Philadelphia Eagles,
c0d324e29ce58b36bdc77564f7aae56f,Tampa Bay Buccaneers,Arizona Cardinals,Arizona Cardinals|Tampa Bay Buccaneers,
9da608f5bdae527b280abd61e47a110b,New York Jets,Atlanta Falcons,Atlanta Falcons|New York Jets,
67e51d17848485bed8737bd7043a275a,Carolina Panthers,Los Angeles Rams,Carolina Panthers|Los Angeles Rams,
36fcf5ca155a5dcd2f7a87fd2a985b02,Cleveland Browns,San Francisco 49ers,Cleveland Browns|San Francisco 49ers,
fa46c661007f5f0cbbf6abf939ac9d51,Indianapolis Colts,Houston Texans,Houston Texans|Indianapolis Colts,
61e1e459b2ddafd43e8808d4f40c01d9,Tennessee Titans,Jacksonville Jaguars,Jacksonville Jaguars|Tennessee Titans,
e3c9bfba57bbe784481d881ea3b4519d,Miami Dolphins,New Orleans Saints,Miami Dolphins|New Orleans Saints,
6f956074c4df48e7b07a3286a6c6ed2a,Seattle Seahawks,Minnesota Vikings,Minnesota Vikings|Seattle Seahawks,
365a766a3862bc47a5455dc3b097421e,Pittsburgh Steelers,Buffalo Bills,Buffalo Bills|Pittsburgh Steelers,
76ac5a8d2c8679ae6ea8861114791bd8,Los Angeles Chargers,Las Vegas Raiders,Las Vegas Raiders|Los Angeles Chargers,
9c040de8f1dfc3ddee20e0d65c9402de,Washington Commanders,Denver Broncos,Denver Broncos|Washington Commanders,
3e65786eddd4c7aee9e7f2504f6fdedc,New England Patriots,New York Giants,New England Patriots|New York Giants,
81db991c5b34169eeeff8d734d8836d9,Detroit Lions,Dallas Cowboys,Dallas Cowboys|Detroit Lions,
f0bdd27bbed46dfc3d0657500c95a96c,Atlanta Falcons,Seattle Seahawks,Atlanta Falcons|Seattle Seahawks,
4fead7bd0592ec121cc3baf72e3e21e0,Baltimore Ravens,Pittsburgh Steelers,Baltimore Ravens|Pittsburgh Steelers,
c67c327076a98a3a1c4a5eb32e5a80c2,Buffalo Bills,Cincinnati Bengals,Buffalo Bills|Cincinnati Bengals,
f95be6b9bd8ce1208f766cbaae8a4822,Cleveland Browns,Tennessee Titans,Cleveland Browns|Tennessee Titans,
4e289ac7d9b5663fd5a06881f2b1424d,Jacksonville Jaguars,Indianapolis Colts,Indianapolis Colts|Jacksonville Jaguars,
c86a0783216d21040c87fce3aadd3336,New York Jets,Miami Dolphins,Miami Dolphins|New York Jets,
58b16c4033587f5662ff365bce2dbb92,Minnesota Vikings,Washington Commanders,Minnesota Vikings|Washington Commanders,
15555b4c7283dc6553e011dd6c8aea8d,Tampa Bay Buccaneers,New Orleans Saints,New Orleans Saints|Tampa Bay Buccaneers,
d5fd126cbfea2ccd79962a17f0ef4463,Las Vegas Raiders,Denver Broncos,Denver Broncos|Las Vegas Raiders,
12bbffdcd65d53436b56c68a811ca610,Arizona Cardinals,Los Angeles Rams,Arizona Cardinals|Los Angeles Rams,
5b1211b476d0afa2b57133c9603583b6,Green Bay Packers,Chicago Bears,Chicago Bears|Green Bay Packers,
4727a6cfcd3d604dbfcb898c5a4d40a6,Kansas City Chiefs,Houston Texans,Houston Texans|Kansas City Chiefs,
5d7b12c34454df4ff2c59a15ca58e63f,Los Angeles Chargers,Philadelphia Eagles,Los Angeles Chargers|Philadelphia Eagles,
